Title,Genre,Year Release,Rating,Studio
Frieren: Beyond Journey's End,"{'Drama', 'Fantasy', 'Adventure'}",2023,9.38,Madhouse
Fullmetal Alchemist: Brotherhood,"{'Drama', 'Fantasy', 'Adventure', 'Action'}",2009,9.09,Bones
Steins;Gate,"{'Drama', 'Sci-Fi', 'Suspense'}",2011,9.07,White Fox
Gintama Season 4,"{'Comedy', 'Sci-Fi', 'Action'}",2015,9.06,Bandai Namco Pictures
Attack on Titan Season 3 Part 2,"{'Drama', 'Suspense', 'Action'}",2019,9.05,Wit Studio
Hunter x Hunter,"{'Fantasy', 'Adventure', 'Action'}",2011,9.04,Madhouse
Gintama Season 2,"{'Comedy', 'Sci-Fi', 'Action'}",2011,9.03,Sunrise
Bleach: Thousand-Year Blood War,"{'Fantasy', 'Adventure', 'Action'}",2022,9.02,Pierrot
Gintama: Enchousen,"{'Comedy', 'Sci-Fi', 'Action'}",2012,9.02,Sunrise
Kaguya-sama: Love is War - Ultra Romantic,"{'Romance', 'Comedy'}",2022,9.01,A-1 Pictures
Fruits Basket: The Final Season,"{'Romance', 'Drama', 'Supernatural'}",2021,8.98,TMS Entertainment
Gintama Season 5,"{'Comedy', 'Sci-Fi', 'Action'}",2017,8.98,Bandai Namco Pictures
Gintama,"{'Comedy', 'Sci-Fi', 'Action'}",2006,8.94,Sunrise
Clannad: After Story,"{'Romance', 'Drama', 'Supernatural'}",2008,8.93,Kyoto Animation
The Apothecary Diaries,"{'Drama', 'Mystery'}",2023,8.92,"OLM, TOHO animation STUDIO"
Code Geass: Lelouch of the Rebellion R2,"{'Award Winning', 'Sci-Fi', 'Drama', 'Action'}",2008,8.91,Sunrise
The Dangers in My Heart Season 2,"{'Romance', 'Comedy'}",2024,8.89,Shin-Ei Animation
Gintama.: Silver Soul Arc - Second Half War,"{'Comedy', 'Sci-Fi', 'Action'}",2018,8.88,Bandai Namco Pictures
Monster,"{'Drama', 'Suspense', 'Mystery'}",2004,8.88,Madhouse
Jujutsu Kaisen Season 2,"{'Fantasy', 'Action'}",2023,8.84,MAPPA
Vinland Saga Season 2,"{'Drama', 'Adventure', 'Action'}",2023,8.81,MAPPA
Gintama.: Silver Soul Arc,"{'Comedy', 'Sci-Fi', 'Action'}",2018,8.81,Bandai Namco Pictures
Mob Psycho 100 II,"{'Comedy', 'Supernatural', 'Action'}",2019,8.79,Bones
Attack on Titan: Final Season,"{'Drama', 'Suspense', 'Action'}",2021,8.79,MAPPA
Attack on Titan: Final Season Part 2,"{'Drama', 'Suspense', 'Action'}",2022,8.76,MAPPA
Monogatari Series: Second Season,"{'Romance', 'Comedy', 'Supernatural', 'Mystery'}",2013,8.76,Shaft
